__v,_id,author,club,country,createdAt,createdByUserWithRole,firstName,footed,height,isPublic,isSeededFromPlaymakerDb,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
,,,611bf1f6fe16ff48a850e30f,HR,,,Mato,R,175,FAŁSZ,PRAWDA,Milos,,,,RB,https://www.transfermarkt.pl/mato-milos/profil/spieler/178078,,,1993
,,,611bf1f6fe16ff48a850e312,CM,,,Lionel,,180,FAŁSZ,PRAWDA,Abate,,,,F,https://www.transfermarkt.pl/lionel-abate/profil/spieler/647279,,,2000
,,,611bf1f6fe16ff48a850e307,PL,,,Aleksander,,175,FAŁSZ,PRAWDA,Bieganski,,,,CM,https://www.transfermarkt.pl/aleksander-bieganski/profil/spieler/687440,,,2000
,,,611bf1f6fe16ff48a850e31f,PL,,,Dominik,,176,FAŁSZ,PRAWDA,Stupienko,,,,DM,https://www.transfermarkt.pl/dominik-stupienko/profil/spieler/553251,,,2002
,,,611bf1f6fe16ff48a850e324,PL,,,Adrian,,,FAŁSZ,PRAWDA,Szantyr,,,,CM,https://www.transfermarkt.pl/adrian-szantyr/profil/spieler/1039904,,,2004
,,,6048da42e56ecc0017564881,PL,,,Albert,,193,FAŁSZ,PRAWDA,Posiadała,,,,GK,https://www.transfermarkt.pl/a/profil/spieler/712378,,,2003
,,,607ed66d9318290017d92528,PL,,,Maciej,R,178,FAŁSZ,PRAWDA,Orłowski,,,,RB,https://www.transfermarkt.pl/owski/profil/spieler/273357,,,1994
,,,611bf1f6fe16ff48a850e313,PL,,,Lukasz,,,FAŁSZ,PRAWDA,Borkowski,,,,CM,https://www.transfermarkt.pl/lukasz-borkowski/profil/spieler/1036661,,,2003
,,,611bf1f6fe16ff48a850e2c6,UA,,,Dmytro,,190,FAŁSZ,PRAWDA,Sydorenko,,,,CB,https://www.transfermarkt.pl/dmytro-sydorenko/profil/spieler/328612,,,1994
,,,60bf2cfdc3b018001775fc20,PL,,,Dawid,,,FAŁSZ,PRAWDA,Kosmider,,,,CM,https://www.transfermarkt.pl/dawid-kosmider/profil/spieler/825586,,,2003
,,,611bf1f6fe16ff48a850e2e7,PL,,,Wiktor,R,180,FAŁSZ,PRAWDA,Bucko,,,,F,https://www.transfermarkt.pl/wiktor-bucko/profil/spieler/1049569,,,2003
,,,611bf1f6fe16ff48a850e31a,PL,,,Aleksander,,,FAŁSZ,PRAWDA,Spataru,,,,GK,https://www.transfermarkt.pl/aleksander-spataru/profil/spieler/1050222,,,2005
,,,611bf1f6fe16ff48a850e31a,UA,,,Kostiantyn,R,193,FAŁSZ,PRAWDA,Golovchenko,,,,F,https://www.transfermarkt.pl/kostiantyn-golovchenko/profil/spieler/1051187,,,2001
,,,611bf1f6fe16ff48a850e2ea,PL,,,Kamil,,,FAŁSZ,PRAWDA,Wiśniewski,,,,CM,https://www.transfermarkt.pl/Bniewski/profil/spieler/450123,,,1997
,,,6074adb807694d001781148e,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Baran,,,,GK,https://www.transfermarkt.pl/mateusz-baran/profil/spieler/1011752,,,2003
,,,62febaaa9cfad700182fb7ed,PL,,,Damian,,177,FAŁSZ,PRAWDA,Glowacki,,,,CB,https://www.transfermarkt.pl/damian-glowacki/profil/spieler/1043434,,,1991
,,,62febaaa9cfad700182fb7ed,PL,,,Seweryn,,192,FAŁSZ,PRAWDA,Michalski,,,,CB,https://www.transfermarkt.pl/seweryn-michalski/profil/spieler/258424,,,1994
,,,62febaaa9cfad700182fb7ed,PL,,,Jakub,,175,FAŁSZ,PRAWDA,Piela,,,,CM,https://www.transfermarkt.pl/jakub-piela/profil/spieler/1043435,,,2001
,,,62febaaa9cfad700182fb7ed,PL,,,Kamil,,182,FAŁSZ,PRAWDA,Pluta,,,,F,https://www.transfermarkt.pl/kamil-pluta/profil/spieler/525743,,,1997
,,,62f8c3fcd76fa700184ca76c,PL,,,Sebastian,,191,FAŁSZ,PRAWDA,Pacek,,,,F,https://www.transfermarkt.pl/sebastian-pacek/profil/spieler/530604,,,1996
,,,6069a398e40eb400173fb918,PL,,,Jakub,R,168,FAŁSZ,PRAWDA,Draszczyk,,,,RM,https://www.transfermarkt.pl/jakub-draszczyk/profil/spieler/494746,,,1999
,,,62fbac5d3d72690018242440,PL,,,Michal,,,FAŁSZ,PRAWDA,Gajewski,,,,CM,https://www.transfermarkt.pl/michal-gajewski/profil/spieler/1043318,,,1992
,,,62ee5493b528c90018ab55bd,PL,,,Filip,,,FAŁSZ,PRAWDA,Sobon,,,,CB,https://www.transfermarkt.pl/filip-sobon/profil/spieler/797965,,,1995
,,,62ee5493b528c90018ab55bd,PL,,,Witold,,,FAŁSZ,PRAWDA,Walkowiak,,,,F,https://www.transfermarkt.pl/witold-walkowiak/profil/spieler/387613,,,1998
,,,62ee5493b528c90018ab55bd,PL,,,Adrian,,176,FAŁSZ,PRAWDA,Chopcia,,,,F,https://www.transfermarkt.pl/adrian-chopcia/profil/spieler/387616,,,1998
,,,62f3623479e4470018ffe1ed,PL,,,Oskar,,184,FAŁSZ,PRAWDA,Rechtziegel,,,,GK,https://www.transfermarkt.pl/oskar-rechtziegel/profil/spieler/447313,,,1996
,,,62f3623479e4470018ffe1ed,PL,,,Lukasz,,,FAŁSZ,PRAWDA,Lewandowski,,,,CB,https://www.transfermarkt.pl/lukasz-lewandowski/profil/spieler/691999,,,2001
,,,62f3623479e4470018ffe1ed,PL,,,Szymon,,,FAŁSZ,PRAWDA,Kurczak,,,,CM,https://www.transfermarkt.pl/szymon-kurczak/profil/spieler/388727,,,1996
,,,61767718954f8a00183f3a7d,PL,,,Szymon,,,FAŁSZ,PRAWDA,Glab,,,,F,https://www.transfermarkt.pl/szymon-glab/profil/spieler/939063,,,
,,,611bf1f6fe16ff48a850e2e9,PL,,,Remigiusz,,,FAŁSZ,PRAWDA,Niedbalski,,,,CB,https://www.transfermarkt.pl/remigiusz-niedbalski/profil/spieler/1053847,,,2004
,,,611bf1f6fe16ff48a850e2e9,PL,,,Mateusz,,180,FAŁSZ,PRAWDA,Jackowski,,,,CM,https://www.transfermarkt.pl/mateusz-jackowski/profil/spieler/1053836,,,2005
,,,611bf1f6fe16ff48a850e2e9,PL,,,Mateusz,,175,FAŁSZ,PRAWDA,Zielinski,,,,CM,https://www.transfermarkt.pl/mateusz-zielinski/profil/spieler/1053846,,,2001
,,,611bf1f6fe16ff48a850e2e9,PL,,,Adrian,,,FAŁSZ,PRAWDA,Wasiak,,,,LM,https://www.transfermarkt.pl/adrian-wasiak/profil/spieler/1053848,,,2001
,,,611bf1f6fe16ff48a850e2e9,PL,,,Alan,,,FAŁSZ,PRAWDA,Klimek,,,,F,https://www.transfermarkt.pl/alan-klimek/profil/spieler/1053849,,,2004
,,,611bf1f6fe16ff48a850e2e5,UA,,,Oleg,R,174,FAŁSZ,PRAWDA,Bazhan,,,,LM,https://www.transfermarkt.pl/oleg-bazhan/profil/spieler/383081,,,1991
,,,611bf1f6fe16ff48a850e2c5,PL,,,Adrian,,,FAŁSZ,PRAWDA,Korbecki,,,,GK,https://www.transfermarkt.pl/adrian-korbecki/profil/spieler/1025638,,,2005
,,,611bf1f6fe16ff48a850e2c5,UA,,,Vladyslav,R,179,FAŁSZ,PRAWDA,Pogorilyi,,,,DM,https://www.transfermarkt.pl/vladyslav-pogorilyi/profil/spieler/730867,,,1998
,,,611f713f22183b00189c9fbd,PL,,,Jakub,,,FAŁSZ,PRAWDA,Wylupek,,,,GK,https://www.transfermarkt.pl/jakub-wylupek/profil/spieler/862088,,,2000
,,,611f713f22183b00189c9fbd,UA,,,Nazar,R,179,FAŁSZ,PRAWDA,Melnychuk,,,,LB,https://www.transfermarkt.pl/nazar-melnychuk/profil/spieler/391342,,,1995
,,,611f713f22183b00189c9fbd,PL,,,Sebastian,,,FAŁSZ,PRAWDA,Lapinski,,,,LB,https://www.transfermarkt.pl/sebastian-lapinski/profil/spieler/867561,,,2003
,,,611f713f22183b00189c9fbd,PL,,,Adrian,,,FAŁSZ,PRAWDA,Gierowski,,,,LB,https://www.transfermarkt.pl/adrian-gierowski/profil/spieler/797165,,,1997
,,,611f713f22183b00189c9fbd,PL,,,Oliwer,,,FAŁSZ,PRAWDA,Maziarka,,,,CM,https://www.transfermarkt.pl/oliwer-maziarka/profil/spieler/862045,,,2002
,,,611f713f22183b00189c9fbd,PL,,,Bartlomiej,,,FAŁSZ,PRAWDA,Sienkiewicz,,,,CM,https://www.transfermarkt.pl/bartlomiej-sienkiewicz/profil/spieler/863134,,,1998
,,,611f713f22183b00189c9fbd,PL,,,Piotr,,184,FAŁSZ,PRAWDA,Dajos,,,,CM,https://www.transfermarkt.pl/piotr-dajos/profil/spieler/749873,,,1997
,,,611f713f22183b00189c9fbd,UA,,,Mykhaylo,,180,FAŁSZ,PRAWDA,Kaznokha,,,,CAM,https://www.transfermarkt.pl/mykhaylo-kaznokha/profil/spieler/451854,,,1989
,,,611f713f22183b00189c9fbd,UA,,,Sergiy,R,178,FAŁSZ,PRAWDA,Kravchenko,,,,F,https://www.transfermarkt.pl/sergiy-kravchenko/profil/spieler/155431,,,1990
,,,611f713f22183b00189c9fbd,PL,,,Kacper,,180,FAŁSZ,PRAWDA,Nastalek,,,,F,https://www.transfermarkt.pl/kacper-nastalek/profil/spieler/563038,,,1999
,,,611f713f22183b00189c9fbd,PL,,,Krystian,,170,FAŁSZ,PRAWDA,Szura,,,,CM,https://www.transfermarkt.pl/krystian-szura/profil/spieler/865019,,,1992
,,,611f713f22183b00189c9fbd,PL,,,Przemyslaw,,175,FAŁSZ,PRAWDA,Galka,,,,F,https://www.transfermarkt.pl/przemyslaw-galka/profil/spieler/279693,,,1979
,,,611f713f22183b00189c9fbd,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Wojcik,,,,F,https://www.transfermarkt.pl/mateusz-wojcik/profil/spieler/514526,,,1999
,,,6066b90c7357180017922a22,PL,,,Damian,R,194,FAŁSZ,PRAWDA,Podlesny,,,,GK,https://www.transfermarkt.pl/damian-podlesny/profil/spieler/236914,,,1995
,,,6066b90c7357180017922a22,PL,,,Bartlomiej,,,FAŁSZ,PRAWDA,Tutaj,,,,GK,https://www.transfermarkt.pl/bartlomiej-tutaj/profil/spieler/823631,,,2004
,,,6066b90c7357180017922a22,PL,,,Jakub,,183,FAŁSZ,PRAWDA,Nieweglowski,,,,CB,https://www.transfermarkt.pl/jakub-nieweglowski/profil/spieler/521560,,,1993
,,,6066b90c7357180017922a22,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Bednarczyk,,,,CM,https://www.transfermarkt.pl/mateusz-bednarczyk/profil/spieler/836994,,,2004
,,,6066b90c7357180017922a22,PL,,,Bartosz,,,FAŁSZ,PRAWDA,Duda,,,,CM,https://www.transfermarkt.pl/bartosz-duda/profil/spieler/809536,,,2001
,,,6066b90c7357180017922a22,PL,,,Wojciech,,185,FAŁSZ,PRAWDA,Majewski,,,,CM,https://www.transfermarkt.pl/wojciech-majewski/profil/spieler/799143,,,1998
,,,6066b90c7357180017922a22,PL,,,Filip,,,FAŁSZ,PRAWDA,Michalow,,,,RM,https://www.transfermarkt.pl/filip-michalow/profil/spieler/799142,,,2000
,,,6066b90c7357180017922a22,PL,,,Aleks,,182,FAŁSZ,PRAWDA,Aftyka,,,,F,https://www.transfermarkt.pl/aleks-aftyka/profil/spieler/463538,,,1998
,,,6066b90c7357180017922a22,PL,,,Bartlomiej,,,FAŁSZ,PRAWDA,Koneczny,,,,CM,https://www.transfermarkt.pl/bartlomiej-koneczny/profil/spieler/658156,,,1998
,,,,PL,,,Grzegorz,,186,FAŁSZ,PRAWDA,Silczuk,,,,CB,https://www.transfermarkt.pl/grzegorz-silczuk/profil/spieler/491091,,,1996
,,,,PL,,,Rafal,R,192,FAŁSZ,PRAWDA,Grodzicki,,,,CB,https://www.transfermarkt.pl/rafal-grodzicki/profil/spieler/37408,,,1983
,,,,PL,,,Krzysztof,,187,FAŁSZ,PRAWDA,Michalec,,,,CB,https://www.transfermarkt.pl/krzysztof-michalec/profil/spieler/524497,,,1989
,,,,PL,,,Dawid,,,FAŁSZ,PRAWDA,Serafin,,,,CM,https://www.transfermarkt.pl/dawid-serafin/profil/spieler/809326,,,1997
,,,,PL,,,Mateusz,,180,FAŁSZ,PRAWDA,Majcherczyk,,,,CM,https://www.transfermarkt.pl/mateusz-majcherczyk/profil/spieler/452510,,,1989
,,,,PL,,,Piotr,,177,FAŁSZ,PRAWDA,Powroznik,,,,CM,https://www.transfermarkt.pl/piotr-powroznik/profil/spieler/80780,,,1976
,,,,PL,,,Michal,,,FAŁSZ,PRAWDA,Slaski,,,,CM,https://www.transfermarkt.pl/michal-slaski/profil/spieler/868626,,,1997
,,,,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Ferenc,,,,CM,https://www.transfermarkt.pl/mateusz-ferenc/profil/spieler/699070,,,2002
,,,,PL,,,Maciej,R,180,FAŁSZ,PRAWDA,Zielinski,,,,DM,https://www.transfermarkt.pl/maciej-zielinski/profil/spieler/278380,,,1993
,,,,PL,,,Beniamin,L,187,FAŁSZ,PRAWDA,Jez,,,,CM,https://www.transfermarkt.pl/beniamin-jez/profil/spieler/356754,,,1997
,,,,PL,,,Bartosz,L,173,FAŁSZ,PRAWDA,Koziel,,,,LM,https://www.transfermarkt.pl/bartosz-koziel/profil/spieler/92596,,,1989
,,,,PL,,,Dawid,both,165,FAŁSZ,PRAWDA,Litewka,,,,LM,https://www.transfermarkt.pl/dawid-litewka/profil/spieler/696031,,,1992
,,,,PL,,,Maciej,R,180,FAŁSZ,PRAWDA,Balawender,,,,CAM,https://www.transfermarkt.pl/maciej-balawender/profil/spieler/264624,,,1993
,,,,PL,,,Karol,,,FAŁSZ,PRAWDA,Pietrzyk,,,,F,https://www.transfermarkt.pl/karol-pietrzyk/profil/spieler/696003,,,2001
,,,,PL,,,Michal,,186,FAŁSZ,PRAWDA,Ilinski,,,,GK,https://www.transfermarkt.pl/michal-ilinski/profil/spieler/696002,,,1985
,,,,PL,,,Adrian,,184,FAŁSZ,PRAWDA,Wojcicki,,,,GK,https://www.transfermarkt.pl/adrian-wojcicki/profil/spieler/374195,,,1996
,,,,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Wojcicki,,,,GK,https://www.transfermarkt.pl/mateusz-wojcicki/profil/spieler/659698,,,2001
,,,,PL,,,Jakub,R,182,FAŁSZ,PRAWDA,Gajewski,,,,RB,https://www.transfermarkt.pl/jakub-gajewski/profil/spieler/605611,,,1999
,,,,PL,,,Adrian,,,FAŁSZ,PRAWDA,Kisiel,,,,CM,https://www.transfermarkt.pl/adrian-kisiel/profil/spieler/658117,,,2001
,,,,PL,,,Krystian,,173,FAŁSZ,PRAWDA,Pietrzyk,,,,CM,https://www.transfermarkt.pl/krystian-pietrzyk/profil/spieler/818697,,,2004
,,,,PL,,,Kacper,,184,FAŁSZ,PRAWDA,Wojtowicz,,,,CM,https://www.transfermarkt.pl/kacper-wojtowicz/profil/spieler/670510,,,2002
,,,,PL,,,Michal,,182,FAŁSZ,PRAWDA,Misiak,,,,DM,https://www.transfermarkt.pl/michal-misiak/profil/spieler/396848,,,1997
,,,,PL,,,Jakub,,181,FAŁSZ,PRAWDA,Buczek,,,,DM,https://www.transfermarkt.pl/jakub-buczek/profil/spieler/407874,,,1999
,,,,PL,,,Dariusz,,,FAŁSZ,PRAWDA,Cygan,,,,RM,https://www.transfermarkt.pl/dariusz-cygan/profil/spieler/695633,,,2000
,,,,PL,,,Mateusz,,,FAŁSZ,PRAWDA,Latosiewicz,,,,F,https://www.transfermarkt.pl/mateusz-latosiewicz/profil/spieler/825734,,,2005
,,,,PL,,,Mikolaj,,,FAŁSZ,PRAWDA,Majewski,,,,F,https://www.transfermarkt.pl/mikolaj-majewski/profil/spieler/837025,,,2005
,,,,PL,,,Pawel,R,172,FAŁSZ,PRAWDA,Zieba,,,,F/W,https://www.transfermarkt.pl/pawel-zieba/profil/spieler/286345,,,1994
,,,,PL,,,Maciej,,,FAŁSZ,PRAWDA,Poleszak,,,,GK,https://www.transfermarkt.pl/maciej-poleszak/profil/spieler/674759,,,2002
,,,,PL,,,Damian,,190,FAŁSZ,PRAWDA,Pietron,,,,CB,https://www.transfermarkt.pl/damian-pietron/profil/spieler/605613,,,1983
