__v,_id,author,club,createdAt,firstName,footed,height,isPublic,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Jacek,,,false,Podgorski,18851,,,F/W,https://www.transfermarkt.pl/jacek-podgorski/profil/spieler/267141,2022-02-17T19:10:12.540Z,,1996
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Jakub,,,false,Lukowski,143952,,,F/W,https://www.transfermarkt.pl/jakub-lukowski/profil/spieler/255905,2022-02-17T19:10:12.540Z,,1996
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Dawid,,,false,Blanik,144005,,,F/W,https://www.transfermarkt.pl/dawid-blanik/profil/spieler/370555,2022-02-17T19:10:12.540Z,,1997
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Jacek,,,false,Kielb,47946,,,F/W,https://www.transfermarkt.pl/jacek-kielb/profil/spieler/37110,2022-02-17T19:10:12.540Z,,1988
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Jakub,,,false,Gorski,37255,,,F/W,https://www.transfermarkt.pl/jakub-gorski/profil/spieler/554968,2022-02-17T19:10:12.540Z,,2002
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Adam,,,false,Fraczczak,43436,,,,https://www.transfermarkt.pl/adam-fraczczak/profil/spieler/53721,2022-02-17T19:10:12.540Z,,1987
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e305,2022-02-17T19:10:12.540Z,Jakub,,,false,Rybus,,,,,https://www.transfermarkt.pl/jakub-rybus/profil/spieler/694482,2022-02-17T19:10:12.540Z,,2002
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Konrad,,,false,Jalocha,144031,,,GK,https://www.transfermarkt.pl/konrad-jalocha/profil/spieler/236243,2022-02-17T19:10:12.540Z,,1991
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Adrian,,,false,Odyjewski,29919,,,GK,https://www.transfermarkt.pl/adrian-odyjewski/profil/spieler/598580,2022-02-17T19:10:12.540Z,,1997
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Artur,,,false,Sip,,,,GK,https://www.transfermarkt.pl/artur-sip/profil/spieler/864030,2022-02-17T19:10:12.540Z,,2004
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Kacper,,,false,Dana,,,,GK,https://www.transfermarkt.pl/kacper-dana/profil/spieler/813830,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Bartosz,,,false,Zarebski,,,,,https://www.transfermarkt.pl/bartosz-zarebski/profil/spieler/864031,2022-02-17T19:10:12.540Z,,2003
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Krzysztof,,,false,Machowski,143877,,,,https://www.transfermarkt.pl/krzysztof-machowski/profil/spieler/949230,2022-02-17T19:10:12.540Z,,2003
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Nemanja,,,false,Nedic,670063,,,CB,https://www.transfermarkt.pl/nemanja-nedic/profil/spieler/378078,2022-02-17T19:10:12.540Z,,1995
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Kamil,,,false,Szymura,144123,,,CB,https://www.transfermarkt.pl/kamil-szymura/profil/spieler/131328,2022-02-17T19:10:12.540Z,,1990
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Lukasz,,,false,Solowiej,144035,,,CB,https://www.transfermarkt.pl/lukasz-solowiej/profil/spieler/196419,2022-02-17T19:10:12.540Z,,1988
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Krzysztof,,,false,Wolkowicz,92694,,,LB,https://www.transfermarkt.pl/krzysztof-wolkowicz/profil/spieler/228627,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Marcel,,,false,Stefaniak,40529,,,LB,https://www.transfermarkt.pl/marcel-stefaniak/profil/spieler/372691,2022-02-17T19:10:12.540Z,,2000
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Maciej,,,false,Manka,30133,,,RB,https://www.transfermarkt.pl/maciej-manka/profil/spieler/146063,2022-02-17T19:10:12.540Z,,1989
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Milosz,,,false,Pawlusinski,149842,,,,https://www.transfermarkt.pl/milosz-pawlusinski/profil/spieler/864029,2022-02-17T19:10:12.540Z,,2004
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Jakub,,,false,Piatek,30134,,,DM,https://www.transfermarkt.pl/jakub-piatek/profil/spieler/379840,2022-02-17T19:10:12.540Z,,1998
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Wiktor,,,false,Zytek,144055,,,DM,https://www.transfermarkt.pl/wiktor-zytek/profil/spieler/421330,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Oskar,,,false,Paprzycki,18942,,,CM,https://www.transfermarkt.pl/oskar-paprzycki/profil/spieler/385820,2022-02-17T19:10:12.540Z,,1998
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Bartosz,,,false,Biel,144042,,,RM,https://www.transfermarkt.pl/bartosz-biel/profil/spieler/187971,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Dominik,,,false,Polap,29921,,,RM,https://www.transfermarkt.pl/dominik-polap/profil/spieler/598565,2022-02-17T19:10:12.540Z,,1999
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Sebastian,,,false,Steblecki,30158,,,CAM,https://www.transfermarkt.pl/sebastian-steblecki/profil/spieler/220976,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Lukasz,,,false,Grzeszczyk,144030,,,CAM,https://www.transfermarkt.pl/lukasz-grzeszczyk/profil/spieler/41679,2022-02-17T19:10:12.540Z,,1987
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Kacper,,,false,Janiak,62875,,,CAM,https://www.transfermarkt.pl/kacper-janiak/profil/spieler/504602,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Dorian,,,false,Orlinski,149841,,,CAM,https://www.transfermarkt.pl/dorian-orlinski/profil/spieler/864028,2022-02-17T19:10:12.540Z,,2004
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Kacper,,,false,Piatek,30072,,,F/W,https://www.transfermarkt.pl/kacper-piatek/profil/spieler/549694,2022-02-17T19:10:12.540Z,,2000
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Kamil,,,false,Kargulewicz,13549,,,F/W,https://www.transfermarkt.pl/kamil-kargulewicz/profil/spieler/562606,2022-02-17T19:10:12.540Z,,2000
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Marcin,,,false,Kozina,37579,,,F/W,https://www.transfermarkt.pl/marcin-kozina/profil/spieler/589683,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Gracjan,,,false,Jaroch,143973,,,,https://www.transfermarkt.pl/gracjan-jaroch/profil/spieler/297217,2022-02-17T19:10:12.540Z,,1998
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Tomas,,,false,Malec,,,,,https://www.transfermarkt.pl/tomas-malec/profil/spieler/108426,2022-02-17T19:10:12.540Z,,1993
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Damian,,,false,Nowak,45516,,,,https://www.transfermarkt.pl/damian-nowak/profil/spieler/223589,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e307,2022-02-17T19:10:12.540Z,Michal,,,false,Staniucha,30073,,,,https://www.transfermarkt.pl/michal-staniucha/profil/spieler/598563,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Pawel,,,false,Lenarcik,144036,,,GK,https://www.transfermarkt.pl/pawel-lenarcik/profil/spieler/279144,2022-02-17T19:10:12.540Z,,1995
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Jon,,,false,Aurtenetxe,,,,CB,https://www.transfermarkt.pl/jon-aurtenetxe/profil/spieler/89726,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Nemanja,,,false,Mijuskovic,143988,,,CB,https://www.transfermarkt.pl/nemanja-mijuskovic/profil/spieler/144695,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2d9,2022-02-17T19:10:12.540Z,Filip,,,false,Balcewicz,43469,,,CB,https://www.transfermarkt.pl/filip-balcewicz/profil/spieler/554283,2022-02-17T19:10:12.540Z,,2003
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Jurich,,,false,Carolina,670064,,,LB,https://www.transfermarkt.pl/jurich-carolina/profil/spieler/338031,2022-02-17T19:10:12.540Z,,1998
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Carlos,,,false,Julio Martínez,,,,RB,https://www.transfermarkt.pl/carlos-julio-martinez/profil/spieler/166658,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Szymon,,,false,Matuszek,43111,,,DM,https://www.transfermarkt.pl/szymon-matuszek/profil/spieler/46590,2022-02-17T19:10:12.540Z,,1989
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Damian,,,false,Tront,144071,,,DM,https://www.transfermarkt.pl/damian-tront/profil/spieler/379232,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Marcin,,,false,Garuch,42971,,,RM,https://www.transfermarkt.pl/marcin-garuch/profil/spieler/187881,2022-02-17T19:10:12.540Z,,1988
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,,,,false,Chuca,,,,CAM,https://www.transfermarkt.pl/chuca/profil/spieler/399779,2022-02-17T19:10:12.540Z,,1997
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Maxime,,,false,Dominguez,787908,,,CAM,https://www.transfermarkt.pl/maxime-dominguez/profil/spieler/207561,2022-02-17T19:10:12.540Z,,1996
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Krzysztof,,,false,Drzazga,44042,,,CAM,https://www.transfermarkt.pl/krzysztof-drzazga/profil/spieler/267149,2022-02-17T19:10:12.540Z,,1995
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Mehdi,,,false,Lehaire,662597,,,CAM,https://www.transfermarkt.pl/mehdi-lehaire/profil/spieler/483487,2022-02-17T19:10:12.540Z,,2000
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Maciej,,,false,Sliwa,42969,,,F/W,https://www.transfermarkt.pl/maciej-sliwa/profil/spieler/528369,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Kamil,,,false,Zapolnik,123508,,,,https://www.transfermarkt.pl/kamil-zapolnik/profil/spieler/281246,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e304,2022-02-17T19:10:12.540Z,Patryk,,,false,Makuch,43205,,,,https://www.transfermarkt.pl/patryk-makuch/profil/spieler/453639,2022-02-17T19:10:12.540Z,,1999
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Daniel,,,false,Kajzer,43090,,,GK,https://www.transfermarkt.pl/daniel-kajzer/profil/spieler/255385,2022-02-17T19:10:12.540Z,,1992
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Kacper,,,false,Krzepisz,3550,,,GK,https://www.transfermarkt.pl/kacper-krzepisz/profil/spieler/400871,2022-02-17T19:10:12.540Z,,1999
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Michal,,,false,Molenda,3844,,,GK,https://www.transfermarkt.pl/michal-molenda/profil/spieler/539583,2022-02-17T19:10:12.540Z,,2001
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Michal,,,false,Marcjanik,123488,,,CB,https://www.transfermarkt.pl/michal-marcjanik/profil/spieler/278690,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Arkadiusz,,,false,Kasperkiewicz,29664,,,CB,https://www.transfermarkt.pl/arkadiusz-kasperkiewicz/profil/spieler/315511,2022-02-17T19:10:12.540Z,,1994
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Haris,,,false,Memić,,,,CB,https://www.transfermarkt.pl/haris-memi%C4%87/profil/spieler/276035,2022-02-17T19:10:12.540Z,,1995
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Martin,,,false,Dobrotka,143964,,,CB,https://www.transfermarkt.pl/martin-dobrotka/profil/spieler/74871,2022-02-17T19:10:12.540Z,,1985
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Luis,,,false,Valcarce,,,,LB,https://www.transfermarkt.pl/luis-valcarce/profil/spieler/288459,2022-02-17T19:10:12.540Z,,1993
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Fabian,,,false,Hiszpanski,3989,,,RB,https://www.transfermarkt.pl/fabian-hiszpanski/profil/spieler/194139,2022-02-17T19:10:12.540Z,,1993
0,,6047f176c5d45231a400ef89,61c46d274afd2a00188ee5f0,2022-02-17T19:10:12.540Z,Jerzy,,,false,Tomal,63119,,,RB,https://www.transfermarkt.pl/jerzy-tomal/profil/spieler/617097,2022-02-17T19:10:12.540Z,,2003
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Adam,,,false,Deja,123369,,,DM,https://www.transfermarkt.pl/adam-deja/profil/spieler/257244,2022-02-17T19:10:12.540Z,,1993
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Pawel,,,false,Sasin,48713,,,DM,https://www.transfermarkt.pl/pawel-sasin/profil/spieler/29854,2022-02-17T19:10:12.540Z,,1983
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Michal,,,false,Bednarski,3549,,,DM,https://www.transfermarkt.pl/michal-bednarski/profil/spieler/585989,2022-02-17T19:10:12.540Z,,2000
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e30d,2022-02-17T19:10:12.540Z,Sebastian,,,false,Milewski,123426,,,CM,https://www.transfermarkt.pl/sebastian-milewski/profil/spieler/374562,2022-02-17T19:10:12.540Z,,1998
