__v,_id,author,club,createdAt,firstName,footed,height,isPublic,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
0,,6047f176c5d45231a400ef89,607362075b6a400017c4dfcf,2021-08-01,Patryk,,188,,Wolanski,784503,"https://www2.laczynaspilka.pl/zawodnik/patryk-wolanski,256513.html",,GK,https://www.transfermarkt.pl/patryk-wolanski/profil/spieler/199305,44409,,1991
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2de,2021-08-01,Matheus,R,182,,Ceschin Diaz,663479,"https://www2.laczynaspilka.pl/zawodnik/matheus-ceschin-diaz,1702207.html",,DM/CM,https://www.transfermarkt.pl/matheus-dias/profil/spieler/602185,44409,,1997
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2ea,2021-08-01,Mateusz,R,185,,Długołęcki,155120,"https://www2.laczynaspilka.pl/zawodnik/mateusz-dlugolecki,35779.html",,CB,https://www.transfermarkt.pl/mateusz-dlugolecki/profil/spieler/236889,44409,,1993
0,,6047f176c5d45231a400ef89,611bec29a3796c00171c2f8f,2021-08-01,Adam,R,187,,Kokoszka,154415,"https://www2.laczynaspilka.pl/zawodnik/adam-kokoszka,5820.html",,CB,https://www.transfermarkt.pl/adam-kokoszka/profil/spieler/33430,44409,,1986
0,,6047f176c5d45231a400ef89,606b5bd736819c0017b655b1,2021-08-01,Damian,L,186,,Garbacik,154250,"https://www2.laczynaspilka.pl/zawodnik/damian-garbacik,446485.html",,CB,https://www.transfermarkt.pl/damian-garbacik/profil/spieler/256982,44409,,1996
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2b8,2021-08-01,Robert,R,192,,Obst,144217,"https://www2.laczynaspilka.pl/zawodnik/robert-obst,316629.html",,CB,https://www.transfermarkt.pl/robert-obst/profil/spieler/371090,44409,,1995
0,,6047f176c5d45231a400ef89,6074adb807694d001781148e,2021-08-01,Maciej,R,178,,Prusinowski,144195,"https://www2.laczynaspilka.pl/zawodnik/maciej-prusinowski,20950.html",,RB,https://www.transfermarkt.pl/maciej-prusinowski/profil/spieler/241850,44409,,1993
0,,6047f176c5d45231a400ef89,60532bcfaaeb6200179cd527,2021-08-01,Adrian,R,189,,Błaszkiewicz,144190,"https://www2.laczynaspilka.pl/zawodnik/adrian-blaszkiewicz,703025.html",,CB,https://www.transfermarkt.pl/adrian-blaszkiewicz/profil/spieler/450631,44409,,1998
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2ac,2021-08-01,Mariusz,R,182,,Kryszak,144151,"https://www2.laczynaspilka.pl/zawodnik/mariusz-kryszak,145808.html",,CM,https://www.transfermarkt.pl/mariusz-kryszak/profil/spieler/122482,44409,,1984
0,,6047f176c5d45231a400ef89,605a84b6325dd80017ee12dd,2021-08-01,Marcin,R,183,,Stefanik,144107,"https://www2.laczynaspilka.pl/zawodnik/marcin-stefanik,152499.html",,DM,https://www.transfermarkt.pl/marcin-stefanik/profil/spieler/41637,44409,,1987
0,,6047f176c5d45231a400ef89,611bf1f6fe16ff48a850e2af,2021-08-01,Adrian,,180,,Karankiewicz,144082,"https://www2.laczynaspilka.pl/zawodnik/adrian-karankiewicz,71.html",,CB,https://www.transfermarkt.pl/adrian-karankiewicz/profil/spieler/52747,44409,,1987
0,,6047f176c5d45231a400ef89,6048d2b0e56ecc001756486d,2021-08-01,Sebastian,R,192,,Rogala,124121,"https://www2.laczynaspilka.pl/zawodnik/sebastian-rogala,823987.html",,CB,https://www.transfermarkt.pl/sebastian-rogala/profil/spieler/450640,44409,,2000
0,,6047f176c5d45231a400ef89,60620ca10727700017d932d7,2021-08-01,Krzysztof,,,,Salak,123631,"https://www2.laczynaspilka.pl/zawodnik/krzysztof-salak,883994.html",,CB,https://www.transfermarkt.pl/krzysztof-salak/profil/spieler/867902,44409,,2001
