_id,club
6048d8a0e56ecc001756487d,61df5196ac8a1c00186039e9
60525b5d91530f001704bc39,61df5196ac8a1c00186039e9
605446a74d75ad0017c003a0,61d895dc998bfb00186e168a
6055dbe57a76cf0017dfce01,604e56756587330017697251
6055de667a76cf0017dfce03,611bf1f6fe16ff48a850e307
6058c9454cf1700017ce4e86,611bf1f6fe16ff48a850e30f
6059f7d4e7a99d0017cde179,6048acbbe56ecc0017564863
605a1876bba0ab0017ed02e7,60620e620727700017d932d9
605ae1dd0e7ed900173af25b,611bf1f6fe16ff48a850e2ff
605cc66966809f0017dedc62,605cc55266809f0017dedc60
6060fd4899d65b0017f26d9d,6048acbbe56ecc0017564863
606b4deba2661f0017c67ee9,6048acc7e56ecc0017564864
606c983a1c062e001789982e,605dc47d19793a00171e3d48
606ca8ff85fe7b001700ff0b,611bf1f6fe16ff48a850e306
60700a614aa24100171498e6,60c0b4870689d1001791813c
6075ad295b6e5a0017c40ae3,611bf1f6fe16ff48a850e2c5
6075db2ecb5287001766a3a7,611bf1f6fe16ff48a850e306
607685e963f01a0017495607,611bf1f6fe16ff48a850e2fe
60a1496dc55fb30017f085c7,607362075b6a400017c4dfcf
60ae08b7d985310017f89ca9,611bf1f6fe16ff48a850e31f
60be066a366ec50017de49aa,611bf1f6fe16ff48a850e2f7
60be6050e0e4a000178a767c,611bf1f6fe16ff48a850e306
60bfc99f53de51001783b9dd,611bf1f6fe16ff48a850e306
60c85376e52e9b0017c80c79,611bf1f6fe16ff48a850e2f6
60d2efec622c760017a9ff8f,6055dbb67a76cf0017dfce00
60d31fd9db02b80017f5fb29,604e56756587330017697251
61153ac663870a0017cd4eb1,6060f6f799d65b0017f26d9a
612137ec7fd6c70018b2afa8,611bf1f6fe16ff48a850e322
612b3f66ef343a0018089b5c,611bf1f6fe16ff48a850e304
6137d428dbfe2f47acea0786,611bf1f6fe16ff48a850e31a
6137d428dbfe2f47acea0789,611bf1f6fe16ff48a850e2e9
6137d428dbfe2f47acea0790,611bf1f6fe16ff48a850e2be
6137d428dbfe2f47acea0792,611bf1f6fe16ff48a850e322
6137d428dbfe2f47acea0796,611bf1f6fe16ff48a850e2ac
6137d428dbfe2f47acea07b8,611bf1f6fe16ff48a850e2be
6137d428dbfe2f47acea07c6,611bf1f6fe16ff48a850e2bd
6137d428dbfe2f47acea07cf,60a1492ec55fb30017f085c6
6137d428dbfe2f47acea07d0,611bf1f6fe16ff48a850e31b
6137d428dbfe2f47acea07ed,611bec29a3796c00171c2f8f
6137d428dbfe2f47acea0809,611bf1f6fe16ff48a850e2af
6137d428dbfe2f47acea080c,611bf1f6fe16ff48a850e316
6137d428dbfe2f47acea0835,6060f6f799d65b0017f26d9a
6137d428dbfe2f47acea083a,60c0b4870689d1001791813c
6137d428dbfe2f47acea0849,611bf1f6fe16ff48a850e2eb
6137d428dbfe2f47acea0859,611bf1f6fe16ff48a850e308
6137d428dbfe2f47acea085d,611bf1f6fe16ff48a850e311
6137d428dbfe2f47acea0862,60a1492ec55fb30017f085c6
6137d428dbfe2f47acea0865,6075ace75b6e5a0017c40ae2
6137d428dbfe2f47acea086b,611bf1f6fe16ff48a850e31a
6137d428dbfe2f47acea0874,6115315f63870a0017cd4eae
6137d428dbfe2f47acea0875,611bf1f6fe16ff48a850e2ad
6137d428dbfe2f47acea087c,611bf1f6fe16ff48a850e310
6137d428dbfe2f47acea087f,611bf1f6fe16ff48a850e300
6137d428dbfe2f47acea0894,6048da42e56ecc0017564881
6137d428dbfe2f47acea08a6,611bf1f6fe16ff48a850e2b8
6137d428dbfe2f47acea08b4,607ed66d9318290017d92528
6137d428dbfe2f47acea08bb,611bf1f6fe16ff48a850e2a7
6137d428dbfe2f47acea08bf,60a1492ec55fb30017f085c6
6137d428dbfe2f47acea08d0,6048d869e56ecc001756487c
6137d428dbfe2f47acea08d4,611bf1f6fe16ff48a850e2f6
6137d429dbfe2f47acea08e1,611bf1f6fe16ff48a850e2be
6137d429dbfe2f47acea091f,611bf1f6fe16ff48a850e2f0
6137d429dbfe2f47acea092b,60532bcfaaeb6200179cd527
6137d429dbfe2f47acea0936,6058ecc1ca90dc001755c7b1
6137d429dbfe2f47acea0941,608c59ccf16ff70017cfecd5
6137d429dbfe2f47acea0956,611bf1f6fe16ff48a850e2ac
6137d429dbfe2f47acea0959,611bf1f6fe16ff48a850e2d2
6137d429dbfe2f47acea0981,605cc55266809f0017dedc60
6137d429dbfe2f47acea099a,608197d970246700177714df
6137d429dbfe2f47acea09a2,611bf1f6fe16ff48a850e2ac
6137d429dbfe2f47acea09a9,60c0b4870689d1001791813c
6137d429dbfe2f47acea09b8,611bf1f6fe16ff48a850e305
6137d429dbfe2f47acea09bb,611bf1f6fe16ff48a850e2f6
6137d429dbfe2f47acea09bc,6058ecc1ca90dc001755c7b1
6137d429dbfe2f47acea09d7,6048d869e56ecc001756487c
6137d429dbfe2f47acea09d9,611bf1f6fe16ff48a850e2ad
6137d429dbfe2f47acea09e5,611bf1f6fe16ff48a850e2ad
6137d429dbfe2f47acea09f0,611bf1f6fe16ff48a850e2aa
6137d429dbfe2f47acea0a02,611bf1f6fe16ff48a850e314
6137d429dbfe2f47acea0a07,611bf1f6fe16ff48a850e308
6137d429dbfe2f47acea0a0c,611bf1f6fe16ff48a850e2ce
6137d429dbfe2f47acea0a1e,6048acbbe56ecc0017564863
6137d429dbfe2f47acea0a22,6058c9064cf1700017ce4e85
6137d429dbfe2f47acea0a27,6048d2b0e56ecc001756486d
6137d429dbfe2f47acea0a29,604e56756587330017697251
6137d429dbfe2f47acea0a2e,6051bde0f184510017fefc5c
6137d429dbfe2f47acea0a31,611bf1f6fe16ff48a850e300
6137d429dbfe2f47acea0a32,611bf1f6fe16ff48a850e31e
