__v,_id,author,awayTeam,competition,createdAt,date,homeTeam,isPublic,result,updatedAt,videoURL
0,,6052756a53e2f337408e0f92,6059f790e7a99d0017cde178,league,2021-08-08,2021-08-07,6055dbb67a76cf0017dfce00,FALSE,1:1,2021-08-08,https://www.youtube.com/watch?v=8ujoTlLt3-g
0,,6047f176c5d45231a400ef77,6059f790e7a99d0017cde178,league,2021-08-08,2021-08-07,6055dbb67a76cf0017dfce00,FALSE,1:1,2021-08-08,https://www.youtube.com/watch?v=8ujoTlLt3-g
0,,6047f176c5d45231a400ef7b,611bf1f6fe16ff48a850e2bd,league,2021-08-16,2021-08-15,608c59ccf16ff70017cfecd5,FALSE,1:1,2021-08-16,https://www.youtube.com/watch?v=iB7Gy_d4UHI&t=913s
0,,610d7f86c90348001715e2b8,6115315f63870a0017cd4eae,league,2021-08-09,2021-08-08,6051bde0f184510017fefc5c,FALSE,0:4,2021-08-09,
0,,610d7f86c90348001715e2b8,604e56756587330017697251,league,2021-08-15,2021-08-14,6058ecc1ca90dc001755c7b1,FALSE,5:2,2021-08-15,
0,,6047f176c5d45231a400ef86,607ed67b9318290017d92529,league,2021-08-15,2021-08-14,611bf1f6fe16ff48a850e2a8,FALSE,0:1,2021-08-15,
0,,60f5f2b7b6495f0017e2505f,611bf1f6fe16ff48a850e2ea,league,2021-08-08,2021-08-07,611bf1f6fe16ff48a850e2e9,FALSE,0:3,2021-08-08,https://youtu.be/8VS72BRZv3A
0,,6047f176c5d45231a400ef7b,6115315f63870a0017cd4eae,league,2021-08-09,2021-08-08,6051bde0f184510017fefc5c,FALSE,0:4,2021-08-09,https://www.youtube.com/watch?v=v9yeR9oreMQ&t
0,,6047f176c5d45231a400ef76,611bf1f6fe16ff48a850e2aa,league,2021-08-08,2021-08-07,6069a398e40eb400173fb918,FALSE,1:2,2021-08-08,https://www.youtube.com/watch?v=Zd77bY5kCng
0,,610d7f86c90348001715e2b8,611bec29a3796c00171c2f8f,league,2021-08-15,2021-08-14,606b4d9da2661f0017c67ee8,FALSE,2:2,2021-08-15,
0,,6047f176c5d45231a400ef7e,608197d970246700177714df,league,2021-08-09,2021-08-08,60a1492ec55fb30017f085c6,FALSE,1:1,2021-08-09,https://www.youtube.com/watch?v=H_HDIlDdEjI
0,,6047f176c5d45231a400ef7a,607362075b6a400017c4dfcf,league,2021-08-18,2021-08-17,611bf1f6fe16ff48a850e2eb,FALSE,2:1,2021-08-18,
0,,611b81a78d65b00017b53034,605a84b6325dd80017ee12dd,league,2021-08-19,2021-08-18,611bf1f6fe16ff48a850e2b9,FALSE,2:3,2021-08-19,
0,,610d7f86c90348001715e2b8,611bf1f6fe16ff48a850e2c6,league,2021-08-19,2021-08-18,604e56756587330017697251,FALSE,2:1,2021-08-19,
0,,60f5f2b7b6495f0017e2505f,611bf1f6fe16ff48a850e2aa,league,2021-08-08,2021-08-07,6069a398e40eb400173fb918,FALSE,1:2,2021-08-08,https://youtu.be/Zd77bY5kCng
0,,6047f176c5d45231a400ef86,605cc55266809f0017dedc60,league,2021-08-19,2021-08-18,611bf1f6fe16ff48a850e2df,FALSE,0:4,2021-08-19,https://youtu.be/ZP_x9YDwWNU
0,,6047f176c5d45231a400ef85,608703f8aa94ed00173e45cd,league,2021-08-08,2021-08-07,60be0385366ec50017de49a7,FALSE,2:0,2021-08-08,https://www.youtube.com/watch?v=RP18_c-Nkz4&t=3775s
0,,6047f176c5d45231a400ef85,611bf1f6fe16ff48a850e2df,league,2021-08-15,2021-08-14,60c0b4870689d1001791813c,FALSE,2:2,2021-08-15,
0,,6047f176c5d45231a400ef86,611bf1f6fe16ff48a850e2e0,league,2021-08-19,2021-08-18,60a1492ec55fb30017f085c6,FALSE,3:2,2021-08-19,https://youtu.be/zr0Fs1svEWQ
0,,6052756a53e2f337408e0f92,611bf1f6fe16ff48a850e2d9,league,2021-08-15,2021-08-14,611bf1f6fe16ff48a850e2cd,FALSE,1:3,2021-08-15,
0,,611b81a78d65b00017b53034,611bf1f6fe16ff48a850e2c5,league,2021-08-22,2021-08-21,605125a1b1fe4c0017d93c58,FALSE,0:2,2021-08-22,
0,,6047f176c5d45231a400ef87,6135ffdc1c03a300187287dd,league,2021-08-25,2021-08-24,613600c81c03a300187287de,FALSE,2:3,2021-08-25,
0,,6047f176c5d45231a400ef7b,6051bde0f184510017fefc5c,league,2021-08-15,2021-08-14,605a84b6325dd80017ee12dd,FALSE,5:1,2021-08-15,
