__v,_id,author,club,country,createdAt,createdByUserWithRole,firstName,footed,height,isPublic,isSeededFromPlaymakerDb,lastName,lnpID,lnpProfileURL,minut90ProfileURL,position,transfermarktProfileURL,updatedAt,weight,yearOfBirth
,,,611bf1f6fe16ff48a850e2f8,AT,,,David,R,178,FAŁSZ,PRAWDA,Stec,,,,RB,https://www.transfermarkt.pl/david-stec/profil/spieler/181715,,,1994
,,,611bf1f6fe16ff48a850e2f8,PL,,,Bartosz,R,179,FAŁSZ,PRAWDA,Brzek,,,,RB,https://www.transfermarkt.pl/bartosz-brzek/profil/spieler/618404,,,2005
,,,611bf1f6fe16ff48a850e2f8,DE,,,Christian,R,179,FAŁSZ,PRAWDA,Clemens,,,,F/W,https://www.transfermarkt.pl/christian-clemens/profil/spieler/44713,,,1991
,,,611bf1f6fe16ff48a850e2f8,PL,,,Krystian,,185,FAŁSZ,PRAWDA,Okoniewski,,,,F,https://www.transfermarkt.pl/krystian-okoniewski/profil/spieler/618377,,,2005
,,,611bf1f6fe16ff48a850e2fb,PL,,,Bartlomiej,,185,FAŁSZ,PRAWDA,Jelonek,,,,GK,https://www.transfermarkt.pl/bartlomiej-jelonek/profil/spieler/1033044,,,2001
,,,611bf1f6fe16ff48a850e2fb,AT,,,Constantin,R,197,FAŁSZ,PRAWDA,Reiner,,,,CB,https://www.transfermarkt.pl/constantin-reiner/profil/spieler/286643,,,1997
,,,611bf1f6fe16ff48a850e2fb,PL,,,Bartosz,,182,FAŁSZ,PRAWDA,Luczak,,,,CM,https://www.transfermarkt.pl/bartosz-luczak/profil/spieler/1006682,,,2003
,,,611bf1f6fe16ff48a850e2fb,PL,,,Jakub,both,181,FAŁSZ,PRAWDA,Niedbala,,,,CM,https://www.transfermarkt.pl/jakub-niedbala/profil/spieler/581899,,,2004
,,,611bf1f6fe16ff48a850e2fb,PL,,,Oskar,,176,FAŁSZ,PRAWDA,Lesniak,,,,CAM,https://www.transfermarkt.pl/oskar-lesniak/profil/spieler/1032923,,,2004
,,,611bf1f6fe16ff48a850e2fb,ES,,,Jorge,R,175,FAŁSZ,PRAWDA,Félix,,,,F,https://www.transfermarkt.pl/jorge-felix/profil/spieler/251930,,,1991
,,,611bf1f6fe16ff48a850e2fb,PL,,,Kamil,L,185,FAŁSZ,PRAWDA,Wilczek,,,,F,https://www.transfermarkt.pl/kamil-wilczek/profil/spieler/78590,,,1988
,,,611bf1f6fe16ff48a850e2fb,PL,,,Gabriel,,197,FAŁSZ,PRAWDA,Kirejczyk,,,,F,https://www.transfermarkt.pl/gabriel-kirejczyk/profil/spieler/910764,,,2003
,,,611bf1f6fe16ff48a850e2f6,RO,,,Virgil,,186,FAŁSZ,PRAWDA,Ghita,,,,CB,https://www.transfermarkt.pl/virgil-ghita/profil/spieler/340977,,,1998
,,,611bf1f6fe16ff48a850e2f6,PL,,,Kacper,,187,FAŁSZ,PRAWDA,Jodlowski,,,,CM,https://www.transfermarkt.pl/kacper-jodlowski/profil/spieler/606731,,,1999
,,,611bf1f6fe16ff48a850e2f6,UA,,,Yevgen,R,176,FAŁSZ,PRAWDA,Konoplyanka,,,,F/W,https://www.transfermarkt.pl/yevgen-konoplyanka/profil/spieler/58949,,,1989
,,,611bf1f6fe16ff48a850e2f6,PL,,,Przemyslaw,R,178,FAŁSZ,PRAWDA,Kapek,,,,CAM,https://www.transfermarkt.pl/przemyslaw-kapek/profil/spieler/697556,,,2003
,,,611bf1f6fe16ff48a850e2f6,PL,,,Jakub,both,175,FAŁSZ,PRAWDA,Myszor,,,,F/W,https://www.transfermarkt.pl/jakub-myszor/profil/spieler/697554,,,2002
,,,611bf1f6fe16ff48a850e2f6,FI,,,Benjamin,R,182,FAŁSZ,PRAWDA,Källman,,,,F,https://www.transfermarkt.pl/benjamin-kallman/profil/spieler/322990,,,1998
,,,611bf1f6fe16ff48a850e2fa,PL,,,Oskar,,191,FAŁSZ,PRAWDA,Lodzinski,,,,GK,https://www.transfermarkt.pl/oskar-lodzinski/profil/spieler/1032290,,,2004
,,,611bf1f6fe16ff48a850e2fa,AZ,,,Anton,L,186,FAŁSZ,PRAWDA,Kryvotsyuk,,,,CB,https://www.transfermarkt.pl/anton-kryvotsyuk/profil/spieler/358648,,,1998
,,,611bf1f6fe16ff48a850e2fa,SK,,,Martin,R,179,FAŁSZ,PRAWDA,Sulek,,,,CB,https://www.transfermarkt.pl/martin-sulek/profil/spieler/365469,,,1998
,,,611bf1f6fe16ff48a850e2fa,FR,,,Steve,L,193,FAŁSZ,PRAWDA,Kapuadi,,,,CB,https://www.transfermarkt.pl/steve-kapuadi/profil/spieler/679709,,,1998
,,,611bf1f6fe16ff48a850e2fa,PL,,,Adam,L,186,FAŁSZ,PRAWDA,Chrzanowski,,,,LB,https://www.transfermarkt.pl/adam-chrzanowski/profil/spieler/320898,,,1999
,,,611bf1f6fe16ff48a850e2fa,PL,,,Dawid,,175,FAŁSZ,PRAWDA,Krzyzanski,,,,CAM,https://www.transfermarkt.pl/dawid-krzyzanski/profil/spieler/884505,,,2001
