_id,club,transfermarktProfileURL
60ae08b7d985310017f89ca9,611bf1f6fe16ff48a850e31f,https://www.transfermarkt.pl/mateusz-stawny/profil/spieler/709502
60be066a366ec50017de49aa,611bf1f6fe16ff48a850e2f7,https://www.transfermarkt.pl/andrzej-trubeha/profil/spieler/385614
6048d2e5e56ecc001756486e,6048d2b0e56ecc001756486d,https://www.transfermarkt.pl/jan-leonczyk/profil/spieler/852584
6055b9f9c4273f0017e9fd92,608c59ccf16ff70017cfecd5,https://www.transfermarkt.pl/oskar-wojcik/profil/spieler/821350
6055bac8c4273f0017e9fd94,608c59ccf16ff70017cfecd5,https://www.transfermarkt.pl/kamil-kwiatkowski/profil/spieler/697547
6055dbe57a76cf0017dfce01,604e56756587330017697251,https://www.transfermarkt.pl/bartosz-marchewka/profil/spieler/407560
605dc4b419793a00171e3d49,611bf1f6fe16ff48a850e31f,https://www.transfermarkt.pl/mateusz-lisowski/profil/spieler/401603
6081982b70246700177714e0,608197d970246700177714df,https://www.transfermarkt.pl/mateusz-lis/profil/spieler/529583
6083f4739d85890017787a8f,611bf1f6fe16ff48a850e31e,https://www.transfermarkt.pl/adrian-dziedzic/profil/spieler/699646
6084003e9d85890017787a94,60620ca10727700017d932d7,https://www.transfermarkt.pl/maciej-wojczuk/profil/spieler/387016
60898000e674fc00178bdf1b,611bf1f6fe16ff48a850e2cf,https://www.transfermarkt.pl/kacper-laskowski/profil/spieler/549384
6060fd4899d65b0017f26d9d,6060f6f799d65b0017f26d9a,https://www.transfermarkt.pl/filip-zagiel/profil/spieler/387002
6091598e0a0e3b00175a2834,60620e620727700017d932d9,https://www.transfermarkt.pl/marcin-pienkowski/profil/spieler/560803
60a7b0dd7f0cd6001798dae0,605ae1a30e7ed900173af25a,https://www.transfermarkt.pl/jakub-szynkielewski/profil/spieler/819902
60d2efec622c760017a9ff8f,6055dbb67a76cf0017dfce00,https://www.transfermarkt.pl/krzysztof-kiklaisz/profil/spieler/386945
6048acefe56ecc0017564865,611bf1f6fe16ff48a850e311,https://www.transfermarkt.pl/mariusz-idzik/profil/spieler/379867
605a1876bba0ab0017ed02e7,60620e620727700017d932d9,https://www.transfermarkt.pl/filip-arak/profil/spieler/753884
6060f72199d65b0017f26d9b,6060f6f799d65b0017f26d9a,https://www.transfermarkt.pl/jacek-wuwer/profil/spieler/547838
607f50b21d2db90017c1b73e,611bf1f6fe16ff48a850e309,https://www.transfermarkt.pl/daniel-dudzinski/profil/spieler/554945
60b67241cb18ae00179224b8,60620e620727700017d932d9,https://www.transfermarkt.pl/junior-radzinski/profil/spieler/709295
60be03b6366ec50017de49a8,60620e620727700017d932d9,https://www.transfermarkt.pl/marcin-kluska/profil/spieler/440251
60be5e58e0e4a000178a7678,611bf1f6fe16ff48a850e31f,https://www.transfermarkt.pl/hubert-muszynski/profil/spieler/567588
6055de667a76cf0017dfce03,611bf1f6fe16ff48a850e307,https://www.transfermarkt.pl/marcin-kozina/profil/spieler/589683
606b600436819c0017b655b3,6069a398e40eb400173fb918,https://www.transfermarkt.pl/bartosz-bartkowiak/profil/spieler/462279
6075db2ecb5287001766a3a7,611bf1f6fe16ff48a850e306,https://www.transfermarkt.pl/szymon-szymanski/profil/spieler/451171
6083f0489d85890017787a8e,6048d869e56ecc001756487c,https://www.transfermarkt.pl/bartlomiej-korbecki/profil/spieler/628649
60891b0c35b047001798c4ed,607ed67b9318290017d92529,https://www.transfermarkt.pl/oskar-potoczny/profil/spieler/566353
60532c2baaeb6200179cd528,60532bcfaaeb6200179cd527,https://www.transfermarkt.pl/milosz-paradowski/profil/spieler/723083
6075ad295b6e5a0017c40ae3,611bf1f6fe16ff48a850e2bd,https://www.transfermarkt.pl/eryk-galara/profil/spieler/528400
6075e1b6cb5287001766a3aa,611bf1f6fe16ff48a850e2e0,https://www.transfermarkt.pl/kordian-gorka/profil/spieler/495430
608806b9fedf1c0017b2c758,60880626fedf1c0017b2c757,https://www.transfermarkt.pl/arkadiusz-kasia/profil/spieler/605801
60a412debbc8ee00175115ab,605dc47d19793a00171e3d48,https://www.transfermarkt.pl/kacper-los/profil/spieler/528409
60d31fd9db02b80017f5fb29,611bf1f6fe16ff48a850e2d2,https://www.transfermarkt.pl/michal-biskup/profil/spieler/315794
605446a74d75ad0017c003a0,605cc55266809f0017dedc60,https://www.transfermarkt.pl/dawid-niedzwiedzki/profil/spieler/691327
6074afb707694d0017811490,6074adb807694d001781148e,https://www.transfermarkt.pl/filip-dzielak/profil/spieler/507402
60ae6a960e9cca001761ad1f,611bf1f6fe16ff48a850e2f5,https://www.transfermarkt.pl/mateusz-golba/profil/spieler/797931
606b4deba2661f0017c67ee9,6048acc7e56ecc0017564864,https://www.transfermarkt.pl/maksymilian-tkocz/profil/spieler/555111
6094492c74358300175c4a8d,611bf1f6fe16ff48a850e2f7,https://www.transfermarkt.pl/wojciech-laski/profil/spieler/694787
6098d82bd4a99a0017142ea7,611bf1f6fe16ff48a850e30f,https://www.transfermarkt.pl/jakub-sypek/profil/spieler/504601
60b38f1f8eb46a001700414e,6048da42e56ecc0017564881,https://www.transfermarkt.pl/dominik-cheba/profil/spieler/465498
60bf2d26c3b018001775fc21,60bf2cfdc3b018001775fc20,https://www.transfermarkt.pl/piotr-lisowski/profil/spieler/550762
60d9ecd68ad5dc0017a48ed7,611bf1f6fe16ff48a850e311,https://www.transfermarkt.pl/dorian-krakowski/profil/spieler/798123
611ac320de63c70017e04787,6069a398e40eb400173fb918,https://www.transfermarkt.pl/kacper-nowak/profil/spieler/408941
