_id,lnpID
620f8da46d890a0018e1c5cd,13549
620f8e526d890a0018e1c5ce,30134
620f8edb6d890a0018e1c5cf,37579
620f8fdf6d890a0018e1c5d0,37253
6210fd141a396f1b6a9bcf39,11125
6210fd141a396f1b6a9bcfed,4191
6210fd141a396f1b6a9bd050,14785
6210fd141a396f1b6a9bd05a,42940
6210fd141a396f1b6a9bd0a3,419
6210fd141a396f1b6a9bd0ed,64768
6210fd141a396f1b6a9bd0f8,62908
6210fd141a396f1b6a9bd267,199782
6210fd141a396f1b6a9bd274,64954
6210fd141a396f1b6a9bd296,64769
6210fd141a396f1b6a9bd2af,64611
6210fd141a396f1b6a9bd320,495
6210fd141a396f1b6a9bd3ef,817626
6210fd141a396f1b6a9bd3fc,124252
6210fd141a396f1b6a9bd426,63136
6210fd141a396f1b6a9bd4ca,144164
6210fd141a396f1b6a9bd4d4,62892
6210fd141a396f1b6a9bd59b,144186
6210fd141a396f1b6a9bd5a7,13642
6210fd141a396f1b6a9bd62d,3753
6210fd141a396f1b6a9bd645,54781
6210fd141a396f1b6a9bd66e,154329
6210fd141a396f1b6a9bd692,817591
6210fd141a396f1b6a9bd699,817572
6210fd141a396f1b6a9bd69f,44047
6210fd141a396f1b6a9bd6de,62938
6210fd141a396f1b6a9bd731,817578
62124756cc1d9b0018e375d6,34477
621247dacc1d9b0018e375d7,37793
62163819cbc8f700189be4ef,45567
6216397dcbc8f700189be4f1,62848
62164066cbc8f700189be4f3,123876
62164347cbc8f700189be4f5,29848
621644cfcbc8f700189be4f7,11102
62164821cbc8f700189be4fa,40105
62172d5825957c001819d8bb,42953
6218a3f8807ed90018278bde,37793
6218aa83807ed90018278be1,124118
6218ae8b807ed90018278be3,42969
6218b0ab807ed90018278be5,43205
6219dc914096a2001871e8b3,3624
6219df924096a2001871e8b5,3549
6219e8ad4096a2001871e8b9,3541
6219f0c04096a2001871e8bb,29997
621b71fe55749d0018323bcd,50843
621b8a5f55749d0018323bcf,43447
621bd14c55749d0018323bd4,63446
6220d00dacb67800183fe323,44213
6221dc803d4aed00180bce35,44635
6221dd833d4aed00180bce37,53010
6221df2c3d4aed00180bce39,44025
6221e0ce3d4aed00180bce3b,676898
6221e8333d4aed00180bce3d,48214
622246503d4aed00180bce54,47964
62224f5e3d4aed00180bce57,143976
62235c843f8d870018b23a71,30898
62239f013f8d870018b23a73,63118
6223a0393f8d870018b23a75,62930
6223a1a23f8d870018b23a77,788118
6224b616e1638f00189bdf62,44627
6227942399fc9f0018999248,62908
622a3aa1ae9e6600188d1353,62842
622a3fd1ae9e6600188d1357,123496
622a419cae9e6600188d135a,3664
622a469bae9e6600188d1361,5544
622a4adbae9e6600188d1363,42948
622d215bddd56300184b7699,48305
622d2685ddd56300184b769c,143973
622d276bddd56300184b769d,29912
622d27f5ddd56300184b769e,45182
622d291dddd56300184b769f,54710
622d29e2ddd56300184b76a0,144048
622d2a65ddd56300184b76a1,48214
6231a2da70139800181efb9c,62930
6233a1333294f70018f744c0,1058
6233a1ba3294f70018f744c2,56497
