_id,lnpID
61520946b45b0d001866a825,63002
61535574bdf6f000187ab882,43426
61535669bdf6f000187ab883,45386
61536f0f399e9100188fa74e,144080
616081df41d4120018374fab,43962
617678b0954f8a00183f3a7f,65485
6176791f954f8a00183f3a80,63417
617679e7954f8a00183f3a81,65236
61767cf5954f8a00183f3a83,63494
617826ef78f0000018fda54d,43077
6193c1a2af5abd0018fc8725,55444
61958b617d99950018aecbe4,1383
61a1b3eee322f800184bfd52,48992
61af744626803100183f1f9c,12682
61af747326803100183f1f9d,8893
61af74de26803100183f1f9f,47328
61af752026803100183f1fa0,45344
61af757b26803100183f1fa2,62902
61b913abed8bc10018ab3e96,43253
61b91510ed8bc10018ab3e98,23577
61b91597ed8bc10018ab3e99,51977
61b91866ed8bc10018ab3e9a,43966
61b918eced8bc10018ab3e9b,44081
61bb77b92ab2b50018482b0e,3250
61bbb2bcad096c0018a52b3d,47266
61bbb373ad096c0018a52b41,29572
61bbb420ad096c0018a52b43,37271
61bbb49bad096c0018a52b45,36794
61bbb4baad096c0018a52b46,44266
61bbb4e1ad096c0018a52b47,63107
61bbb518ad096c0018a52b48,62855
61bbb52fad096c0018a52b49,144010
61bbb552ad096c0018a52b4b,16945
61bbb6bead096c0018a52b53,30843
61bbb77dad096c0018a52b55,62963
61bdc6080989b40018008e13,56753
61bdf4c90989b40018008e14,3675
61bdf5600989b40018008e15,48178
61bdf5f50989b40018008e16,45166
61bdf8a10989b40018008e18,3676
61bf431faabb150018b6d0f9,63141
61bfaf426512b900186955dd,144229
61bfafbb6512b900186955de,786
61c46d894afd2a00188ee5f2,47930
61c46e174afd2a00188ee5f6,3746
61c494e74afd2a00188ee608,42900
61c495c04afd2a00188ee609,37132
61c4968e4afd2a00188ee60b,124162
61c498a14afd2a00188ee60d,47982
61c49c294afd2a00188ee615,5326
61c7557da6ec6d0018acf41a,37169
61c75961a6ec6d0018acf41f,29164
61c78202a6ec6d0018acf423,43964
61c78325a6ec6d0018acf425,19059
61c784aba6ec6d0018acf427,43102
61c78656a6ec6d0018acf429,43361
61c89a2c87d01d00183cc279,42900
61c8a0f887d01d00183cc27a,670066
61c8a93f87d01d00183cc27c,3774
61c9a0ce343c440018525be0,43992
61c9a39b343c440018525be2,43316
61c9a662343c440018525be4,43280
61c9a74e343c440018525be8,30195
61cadb655bbe81001865b09f,30100
61d1b201d09fd90018b49406,202126
61d1b5c0d09fd90018b49408,63065
61d1c6d3d09fd90018b4940b,123438
61d1c9f7d09fd90018b4940d,63584
61d343122a60a400186d4b0a,43140
61d44f755b0ff000182b299e,45348
61d4cd015b0ff000182b29b9,787928
61d554deacb5560018806c34,62948
61d6c7bdee8e070018785494,30898
61d6cc9fee8e070018785496,43062
61d733dbee8e07001878549e,596596
61d75f6dee8e0700187854ad,7871
61d764cbee8e0700187854af,7824
61d89507998bfb00186e1687,922
